,antecedents,consequents,support,confidence,lift
50,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'6446eb81-c93e-45bf-a986-1a48ee325390'}),0.001579778830963665,0.11111111111111112,4.850574712643678
52,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'78f1d201-1df6-49f4-aa6a-0fa0ce1ab40d'}),0.002369668246445498,0.16666666666666669,11.105263157894738
53,frozenset({'78f1d201-1df6-49f4-aa6a-0fa0ce1ab40d'}),frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),0.002369668246445498,0.15789473684210528,11.105263157894738
54,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'7d6e9c3c-5690-4ef8-9cfc-82c152172b2f'}),0.001579778830963665,0.11111111111111112,7.033333333333334
56,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'8d9e9877-8cad-41c7-9a2f-3f44a4ddbb55'}),0.001579778830963665,0.11111111111111112,8.791666666666668
57,frozenset({'8d9e9877-8cad-41c7-9a2f-3f44a4ddbb55'}),frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),0.001579778830963665,0.125,8.791666666666668
58,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'92db8820-46a4-4f13-ae8d-eddd0cebfadf'}),0.001579778830963665,0.11111111111111112,7.403508771929825
59,frozenset({'92db8820-46a4-4f13-ae8d-eddd0cebfadf'}),frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),0.001579778830963665,0.10526315789473684,7.4035087719298245
60,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'a18c1b20-e60b-4875-bc42-df216e27c19c'}),0.001579778830963665,0.11111111111111112,7.033333333333334
62,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'a84c4d8e-1561-44a3-b638-bd4f1ad8289a'}),0.001579778830963665,0.11111111111111112,10.820512820512821
63,frozenset({'a84c4d8e-1561-44a3-b638-bd4f1ad8289a'}),frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),0.001579778830963665,0.15384615384615385,10.820512820512821
64,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'b48b7dee-9c8a-4ff0-a1ce-310d188a6527'}),0.001579778830963665,0.11111111111111112,6.3939393939393945
66,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'ca21b8e1-6116-40ae-a58a-8847577f9cf7'}),0.001579778830963665,0.11111111111111112,7.403508771929825
